num_conc,mic_value
3,0.009675928650656643
3,0.008383451497505216
3,0.0077579793324935795
3,0.00993425642089057
3,0.008690139426081026
3,0.009271620366742773
3,0.008656362942713233
3,0.009003933117078875
3,0.011064546978945744
3,0.010463795216049754
3,0.010804040466426768
3,0.009428115569972775
3,0.009457918512188329
3,0.00951269547806935
3,0.00906828620587769
3,0.011220448763034373
3,0.010418484161127091
3,0.010174244904118121
3,0.00948656623727366
3,0.009120806118018491
3,0.009259252525905436
3,0.009666019082921074
3,0.011401671923408704
3,0.011108706977119057
3,0.011232168173291084
3,0.010394246682895798
3,0.01080089585335194
3,0.010256082735750289
3,0.008827318535105698
3,0.009325599249875185
3,0.008912563210942732
3,0.008740815548730982
3,0.00931806670914444
3,0.009703651944075511
3,0.00872048253547059
3,0.008645250158982813
3,0.009810503322866348
3,0.009351641924314999
3,0.01017607760593994
3,0.010004221218317863
3,0.008684843579976457
3,0.008377916051071795
3,0.009327643310935125
3,0.008611060582382965
3,0.009259675099067029
3,0.007978125984671545
3,0.008441284761104263
3,0.008412506341789775
3,0.008513168073646847
3,0.01001254660605188
3,0.01024328560411916
3,0.010156273833442244
3,0.010124717365934996
3,0.0101550010889271
3,0.009388415145689177
3,0.009357037165875213
3,0.010321840594871718
3,0.01054619066048503
3,0.00842746201251262
3,0.010329621286764387
3,0.010328273714307551
3,0.008816948025690979
3,0.00871957900771613
3,0.009529802871625795
3,0.00961209696606067
3,0.009422314465225555
3,0.008801468482127324
3,0.010376762673983108
3,0.010207839675800941
3,0.009501346290574312
3,0.010910103546419333
3,0.010287509327110454
3,0.00998223786101638
3,0.009849256483715842
3,0.009855600132393784
3,0.008163308353515508
3,0.008415939416080497
3,0.008289873348165371
3,0.009869156171489077
3,0.010686877627340427
3,0.009941403809717019
3,0.008875351606352236
3,0.00884617879130483
3,0.010068095524518613
3,0.0097096742165029
3,0.009206026648133091
3,0.010065462257487636
3,0.009289827223539559
3,0.009126944572269216
3,0.009319992958401335
3,0.009646879994493962
3,0.00978856703948504
3,0.009821096320716058
3,0.009478212804249063
3,0.009786556550535825
3,0.009832603605850032
3,0.008830500182125726
3,0.010203343269647681
3,0.010403984039823809
3,0.010470866878474828
3,0.01077020989089132
3,0.009690336306229836
3,0.009507278846134585
3,0.00914927240947262
3,0.010944944859195057
3,0.008297587897053125
3,0.008386075895334777
3,0.007930806220989567
3,0.009334615570016887
3,0.009401211692173903
3,0.009388269714903481
3,0.009395732518622569
3,0.009972695005234582
3,0.009575768559828637
3,0.010507381601495645
3,0.011373300907031444
3,0.011310685970150098
3,0.011131321154690108
3,0.009305353792694083
3,0.009176281590868656
3,0.010140707462798758
3,0.009866939472410127
3,0.009119948251043784
3,0.00879678660265195
3,0.008866711349335556
3,0.008173613150586411
3,0.009194784808248473
3,0.008845130774402543
3,0.009523193788918444
3,0.009938871182989056
3,0.009753808236078675
3,0.009658883404886583
3,0.009804261129605798
3,0.009424970522317392
3,0.009329594741070805
3,0.010039794955587341
3,0.01093359366934394
3,0.009691261979212154
3,0.009536432176230918
3,0.010128463370863745
3,0.009660407454123877
3,0.009597279331915433
3,0.009512176694247143
3,0.009927379255981483
3,0.008642972907815356
3,0.01006218172596196
3,0.009993701128279086
3,0.009680360392435012
3,0.008741064634834568
3,0.010382936557356766
3,0.010281078207941583
3,0.00917659063223042
3,0.008988370233887722
3,0.010132991467415179
3,0.009066935374894582
3,0.009265577248217697
3,0.010112931885221799
3,0.010082135721781689
3,0.009469135218533355
3,0.008992657136388442
3,0.009734308768348668
3,0.010194896771713624
3,0.010845242663468152
3,0.009639831210830925
3,0.009487336127623624
3,0.009672536540089392
3,0.010301435156601247
3,0.009510334619161837
3,0.009308484389662731
3,0.009114581570285718
3,0.008680466063416234
3,0.008653481092316893
3,0.008464566890754246
3,0.00842957621734141
3,0.00938272993509815
3,0.010106305743771579
3,0.009012960814215409
3,0.00936164633948197
3,0.008767756537101457
3,0.007617903200024365
3,0.008306127210005206
3,0.008951049577690185
3,0.009727540424617797
3,0.008072965783276627
3,0.010093183356095907
3,0.010278577337599761
3,0.010282814397917398
3,0.00955127774400288
3,0.009199975983009518
3,0.00905615799599449
3,0.009457394089326075
3,0.009806723230975352
3,0.009733897587365668
3,0.010314262975921121
3,0.010381791139716242
3,0.009053800537098705
3,0.009455027564672031
3,0.009222062235382475
3,0.009362353837852756
3,0.00986355289859954
3,0.009990461920231349
3,0.010693110716045182
3,0.007853626757245146
3,0.009521450980113588
3,0.009313669776570782
3,0.009625976791581708
3,0.009581903638751658
3,0.010209962021741657
3,0.009784454826321357
3,0.009362649506915687
3,0.009711596239797345
3,0.009484531799567484
3,0.008708317844068477
3,0.008633352649245916
3,0.009524932730257642
3,0.010645418299930966
3,0.010213517826808448
3,0.010221788697681191
3,0.0089228650752361
3,0.010964484959416647
3,0.008737151705776821
3,0.009538757492709594
3,0.010315025169978415
3,0.009912664122408772
3,0.00892079715222579
3,0.008592593941070141
3,0.008626366389275919
3,0.011593586772537906
3,0.011680400284097298
3,0.010332838943645459
3,0.008704101254762174
3,0.008781473680617744
3,0.008930032521952989
3,0.009009174701776224
3,0.010547653130949932
3,0.009509709550093145
3,0.010415557121518664
3,0.009701380451181236
3,0.0106503539026843
3,0.009115641135293003
3,0.009161500421416596
3,0.008325476911504707
3,0.008263448042729927
3,0.009549151990914486
3,0.009225758963134137
3,0.008993655135448413
3,0.008537982412243817
3,0.009830406238583646
3,0.009744591329439133
3,0.009792317901225181
3,0.009795284416964182
3,0.010240986889116873
3,0.010223047690441843
3,0.010243667756175938
3,0.008952411832812578
3,0.009437378826157887
3,0.008245955763531857
3,0.009454057372071199
3,0.00956893856329976
3,0.010039673721693818
3,0.00990153594264986
3,0.008698865200033504
3,0.008740108614345772
3,0.00943441364849074
3,0.008521651120705414
3,0.008418264914350347
3,0.008424129473977299
3,0.007896503468231324
3,0.009314086842956475
3,0.009587734577327756
3,0.009579200572291504
3,0.010239042659033323
3,0.010458231054963501
3,0.011094441811910322
3,0.010986520746019215
3,0.00963471434264347
3,0.010021282913209906
3,0.009693117529747147
3,0.009914762007486394
3,0.011011513772587647
3,0.01151206491615887
3,0.011595306403573893
3,0.011299514535954446
3,0.008452264637969062
3,0.008737381962686032
3,0.009974017220196425
3,0.010510227160717709
3,0.009352880576363302
3,0.00876668789784709
3,0.008670550947034615
3,0.008516533383742721
3,0.008421828731083356
3,0.008668148837107304
3,0.008628243384875525
3,0.008626135263477119
3,0.009656449943864286
3,0.009677701969417812
3,0.009302586605314559
3,0.00959091597569312
3,0.009675959480019168
3,0.009396437934087346
3,0.009322228804925947
