c,Ravg,Rstd,Kavg,Kstd,RavgL,RstdL,KavgL,KstdL
0.0,1.176499184378118,0.004221227183479303,0.3835114263284897,0.0014925367309697355,1.1642986603670908,0.004888166039699187,0.38769572560298665,0.0015150477771496878
0.003,1.129290462836869,0.0040046664614557465,0.3689156458025486,0.0011223238260973708,1.1187780273325045,0.0063597925927376675,0.37417899460212756,0.002231014346433491
0.006,1.0552527272386738,0.003308287643227463,0.35359784356679513,0.0011905472595934068,1.0477750970323674,0.0050959622686289835,0.3433732555391969,0.001737571580280202
0.009,0.9137282696062176,0.003337161298211915,0.3346086774723649,0.0015478880745210747,0.9665945333427025,0.006479678273815644,0.33860850517447455,0.0026562776716978504
0.012,0.6917920081129287,0.0035556714568001782,0.30485607773858897,0.0023396017651676542,0.6815503355502492,0.005230634593574842,0.2825431260542332,0.0050417633022213065
0.015,0.4322946755514147,0.004148600898680207,0.2530389251221632,0.0036453141951156174,0.9623892178069562,0.05278297485750033,0.06125334694871648,0.0016747970438807614
0.018,0.1940961324523036,0.008111802216127076,0.16121613835253004,0.006911324577594846,1.9555359245521104,0.04130013136887667,0.017102133101969605,0.000459537751798834
0.021,0.007441470612154339,0.008575872407290483,0.008986011527236293,0.010323793421185985,1.090153497869027,0.7759200228913398,0.13666947754866562,0.2465022086375822
0.024,0.0,0.0,0.0,0.0,1.835046454454944,0.13464643080950636,0.022168177681120473,0.002274596945458577
0.027,0.0,0.0,0.0,0.0,0.16206021781838992,0.43690053776592785,0.43514041787312563,0.3174871173359027
0.03,0.0,0.0,0.0,0.0,1.8115308084873567,0.16134232995543477,0.004843761328842799,0.0005830544268735996
