c,Ravg,Rstd,Kavg,Kstd,RavgL,RstdL,KavgL,KstdL
0.0,1.3162279128628114,0.005754861056782045,0.35807528512973175,0.0015226848529172174,1.2394523284522927,0.007016118119878679,0.3484058668737644,0.0017944949925268194
0.003,1.242336761996536,0.0049875274387467874,0.3387446313280059,0.0010723702580108807,1.2422810156277784,0.008504307387763105,0.3695377894178423,0.0021661201566044817
0.006,1.1494945311087545,0.004446552008088252,0.3187905153824592,0.0011839695172159558,1.163809795639405,0.00822513178695932,0.31597450052137277,0.0019701028136591405
0.009,1.0151582221891877,0.004170012093272278,0.29602840368710154,0.0014131617122954858,1.06976828603043,0.011932104199570108,0.2899515090664688,0.0029996433924982194
0.012,0.8285156250041905,0.004576108954597444,0.26688600427685283,0.0017001881042309915,0.886046557218079,0.009260991062738722,0.23733546362637423,0.0028641050517030434
0.015,0.6002623297285725,0.0045502053653862316,0.22511832851138472,0.002268266748048227,0.9182149428858282,0.025567291020292846,0.12042364271595676,0.0025161794938091298
0.018,0.35509482918710283,0.007151130005724195,0.1629997386039173,0.003219422000622384,1.9536872207504352,0.037299917888593964,0.039654451115376944,0.0005932415317657093
0.021,0.12151402090786854,0.012404812057754634,0.0705116516725707,0.006806542740375114,1.9693461922228026,0.030005156264461267,0.02849218676103599,0.0006168303101745874
0.024,0.0,0.0,0.0,0.0,1.9439679161404675,0.050716775378321824,0.019531225249922214,0.0008483137779357311
0.027,0.0,0.0,0.0,0.0,1.8977737700207973,0.08127915885362913,0.01466893531828441,0.00039064386181571794
0.03,0.0,0.0,0.0,0.0,1.9773789758151048,0.021697804756834745,0.012996784459153306,0.0003476320747920136
