medium,concentration,r0_mean,r0_std,K0_mean,K0_std,q_mean,q_std,c0_mean,c0_std,alpha_mean,alpha_std,MIC_mean,MIC_std
glucose,0.2,1.0818166124621829,0.005419450717076191,0.34839331917205174,0.0013673620099380174,16.556624403295668,0.8756288430870228,0.016623334658701583,0.00012468777809630354,4.665081369892426,0.4215549445135884,0.01989534965175988,0.0004078334773704405
glucose,0.025,1.2139450673933416,0.01384055315804222,0.2132021043308103,0.0011821358137910861,41.110368382843774,3.8990542049080053,0.06692749821887364,0.0672726203666422,7.724226616738925,2.301852095472994,0.02247401463226803,0.004737426554931217
glucose,0.00625,1.1444193108775012,0.009445993366176318,0.16458217587934892,0.0007566183364700971,45.920457263987856,0.5349663862238603,0.1146158232241289,0.07156689060746854,7.056955138159867,2.2698444113497858,0.024907150388806188,0.00015285638360607568
glycerol,0.2,0.9289040066446284,0.012993621759124082,0.177658672798062,0.0018161784310271592,23.159227614375226,0.5437512334906729,0.08488891701893277,0.052231544082745676,6.457045639652346,2.1430311699780518,0.038025299329616104,0.0020154204954106695
glycerol,0.025,0.8360708064145462,0.009592798882514233,0.17309532763700772,0.0016661481281489694,26.098757064098088,0.48569095166790593,0.10334315566370639,0.05835002095542645,6.850719214260867,2.1993966772415243,0.03185917480056388,0.0004322745333456284
glycerol,0.00625,1.0861119754190007,0.010477779819488166,0.15270412597530122,0.0010129828009774518,35.10136466627339,0.5087882323643812,0.10622002811782473,0.06525110996160832,6.768989788771114,2.2550468486907476,0.030798285958120095,0.0003209398042873079
TMP,1.0,0.5371982107765391,0.0038857454957758834,0.07642165855304651,0.0006535846726538555,4.0811837672495885,0.11454414990141946,0.11397266785624162,0.0671443724996281,7.233729516689591,2.3070593886197575,0.08813006491932336,0.022049514194024483
TMP,0.4,0.6106150655690943,0.0021582826744371408,0.2463169674983253,0.0014849619063462417,11.784774011505954,0.10209126289322841,0.12784148934456693,0.09153433999255815,7.442265928732494,2.2661343060997137,0.050479961966750954,0.002026353300251682
TMP,0.0,1.110840678367536,0.0046101040142188755,0.3378629095454408,0.00102047827158753,23.969855356764516,0.7265269310369321,0.018612402450199177,0.00016832009474528038,4.0623553897758065,0.3362681827070326,0.019958161796745713,0.000307286263576625
CHL,6.0,0.5519097862337579,0.034856700758068127,0.014627229136731087,0.00033791899649429185,0.056501243647696354,0.05398522778819551,0.10546083581484547,0.08720829702725046,6.506867396773539,2.2461167111213527,0.2333626056089448,0.19083693025650572
CHL,1.4,0.6189975368540308,0.013765787931591306,0.16586298567494123,0.004777896486619892,3.199379653154007,1.0289060341481768,0.023605521692474034,0.0007525004280700012,6.877404254470515,1.4930976065940385,0.030923359284849992,0.0024778773637611586
CHL,0.0,1.035685702835594,0.024889948871687877,0.24861580746694117,0.00443983054465183,18.898038684809304,2.859864829918544,0.02261464606809949,0.003546904677310054,3.1028408490679147,1.0828592201205174,0.024248195119719852,0.0019981139005041367
