num_conc,mic_value
3,0.008708055750938418
3,0.008559082477650488
3,0.008520648371448353
3,0.008052297409711915
3,0.008077674500447116
3,0.007888752502454155
3,0.007672910078393515
3,0.007815861843380373
3,0.009353033737774368
3,0.009157850567822002
3,0.008802388191608014
3,0.010144767936804525
3,0.010427073844571607
3,0.011563756886315875
3,0.011880668274418731
3,0.009212620946369479
3,0.009192634838759515
3,0.009039201725266547
3,0.008554248635315346
3,0.009801983543365506
3,0.008743957936253955
3,0.010022209692956998
3,0.009385007241763992
3,0.008591601730896944
3,0.00857232682133035
3,0.009279693352216307
3,0.00909510619809815
3,0.008443593748406707
3,0.008622821943720266
3,0.008720033215754297
3,0.010638569378005941
3,0.011043984619194692
3,0.010908233040938025
3,0.010935064181081105
3,0.009406325020593896
3,0.009204063656332919
3,0.00916172948742305
3,0.0100096200385968
3,0.010353097775587879
3,0.011655862682357186
3,0.010125585446634442
3,0.010117784926921421
3,0.010953395727537356
3,0.010703118395067752
3,0.010464738782564417
3,0.011029000631383831
3,0.01042829706346087
3,0.01056874719661349
3,0.010518541224096198
3,0.01019333187754207
3,0.009378683385315983
3,0.01035025111891961
3,0.01048129428730174
3,0.010417054672902373
3,0.011340126179855785
3,0.01056463438869035
3,0.008845480137967689
3,0.008548989857908357
3,0.008768298272862332
3,0.00960098562767877
3,0.008890770559079088
3,0.009518642897325996
3,0.007884029140276676
3,0.008679249382737465
3,0.009252531811760611
3,0.009600508126874486
3,0.00842474401276073
3,0.009736915333525132
3,0.009784738259041335
3,0.009857806275190346
3,0.009856994028184188
3,0.009288068783368844
3,0.009201829731853775
3,0.009382035737139777
3,0.008724925517616064
3,0.010240746630711388
3,0.009320001908910091
3,0.009288645587763027
3,0.010496371772649305
3,0.009769860250945684
3,0.009423789723545982
3,0.009755013530502118
3,0.009768348452450589
3,0.009141711650792061
3,0.01013485306025832
3,0.010507694927361215
3,0.010685626244008699
3,0.009891871217377475
3,0.009733104151341543
3,0.009226648711294007
3,0.009385112424952739
3,0.009541724918315935
3,0.009632449544689515
3,0.00937728963089794
3,0.00911312683692533
3,0.008781478725018095
3,0.008525377808492192
3,0.007685658849669772
3,0.00894053356493844
3,0.009778835790769122
3,0.009174769565709059
3,0.008902658337337006
3,0.008321471377644668
3,0.008981023761474452
3,0.010318980742289218
3,0.010328262760391789
3,0.01040932590897597
3,0.008510430387002147
3,0.008596810593963947
3,0.00921581337457979
3,0.011117575138540357
3,0.010665976976999452
