c,Ravg,Rstd,Kavg,Kstd,RavgL,RstdL,KavgL,KstdL
0.0,1.2040600937005397,0.005858261049164237,0.45941608778900744,0.0024374298112169682,1.1911361289326607,0.008191074347812464,0.4598332243839417,0.0030958633080370897
0.003,1.1270804018555114,0.00538748580857037,0.4370072769641313,0.001913042998513281,1.127626564408794,0.006703930113952913,0.4475946607623266,0.0026773901956381537
0.006,0.8420376250792767,0.005602221143882259,0.40390467301001964,0.0034251315177585683,0.8657006363560958,0.005593278379592605,0.3782692665948387,0.0036541912323811362
0.009,0.3513531220887157,0.008792092758083896,0.3073467531432284,0.008107618071728068,1.9127734496527853,0.06653681005903804,0.0314504095475638,0.0008134971364426146
0.012,0.010043100877553425,0.01163954648913518,0.019336854009841548,0.022395709297232756,1.9165160132049863,0.06801845840381664,0.0347470780082803,0.0013276845127665002
0.015,0.0,0.0,0.0,0.0,1.8050962998312345,0.16849385704365277,0.005287112996861991,0.0006539958933402179
0.018,0.0,0.0,0.0,0.0,1.9032595046917027,0.08704300857059125,0.04740052589061258,0.003215334218372891
0.021,0.0,0.0,0.0,0.0,1.598178390709897,0.284946729413203,0.006860877668668687,0.0015210373490820474
0.024,0.0,0.0,0.0,0.0,1.8872135671016472,0.10193945885469714,0.007468000707483089,0.0004972799457193495
0.027,0.0,0.0,0.0,0.0,0.1819759585870501,0.4223244874967098,0.43416057312854855,0.3165155957835553
0.03,0.0,0.0,0.0,0.0,1.4849708058100333,0.6074147794944396,0.06566037790062929,0.18761890953649443
